Date,Product,Category,Region,Salesperson,CustomerSegment,Quantity,SalesAmount,Profit,Target
2023-04-13,Printer,Accessories,South,SP_9,Home Office,9,4614.842278923139,726.355896661139,5230.885258144533
2024-03-11,Phone,Electronics,West,SP_2,Consumer,5,1986.9779934351848,229.51090693844725,2176.8152901464314
2023-09-28,Headphones,Accessories,East,SP_7,Home Office,9,10158.211904744085,1743.954253668498,9524.250870439726
2023-04-17,Mouse,Accessories,West,SP_9,Consumer,9,10850.89081648029,1639.3665867650843,10341.618707495134
2023-03-13,Printer,Accessories,East,SP_12,Corporate,7,2537.040602609456,651.089049627608,2693.581073761497
2024-12-01,Headphones,Electronics,West,SP_5,Corporate,8,5696.576500585149,636.6601451405734,4999.828613505818
2023-01-21,Printer,Electronics,South,SP_1,Corporate,1,672.9752682456574,67.51642200371094,566.0335813617597
2024-09-06,Headphones,Electronics,West,SP_15,Corporate,4,2140.7955881200305,619.8065079907152,1920.369396060647
2023-05-02,Printer,Accessories,West,SP_8,Consumer,4,3072.594515844707,882.9996109270676,2610.5161600199103
2024-04-11,Mouse,Electronics,East,SP_1,Home Office,9,2401.1578869204054,716.4244533187707,2258.9942062343357
2023-08-03,Phone,Electronics,South,SP_18,Corporate,3,4118.368827948783,791.1186567012139,4839.191742047707
2023-11-27,Printer,Electronics,East,SP_13,Corporate,1,1979.276861060914,154.9496488436939,1678.663876566478
2024-04-03,Printer,Electronics,West,SP_1,Corporate,5,6706.420907223239,1811.0148799470076,7560.341818876024
2023-03-29,Tablet,Electronics,North,SP_5,Home Office,7,5949.563276851706,513.3208591576283,6032.01953903556
2024-01-08,Monitor,Electronics,West,SP_18,Consumer,4,5608.954168248873,498.62806929672104,5907.133074213772
2023-04-10,Mouse,Electronics,West,SP_16,Consumer,9,11058.557920581936,1087.6024464652362,9599.192623664625
2024-10-25,Headphones,Electronics,East,SP_10,Consumer,6,10344.985650343322,2207.151401468564,8902.370414283338
2023-05-11,Mouse,Electronics,North,SP_4,Consumer,6,7916.245258605605,607.9657621397306,6848.3237508563
2024-10-23,Keyboard,Electronics,North,SP_1,Home Office,3,4024.012314954743,984.1543306593334,4292.917543743605
2023-11-05,Headphones,Accessories,East,SP_8,Home Office,5,2994.9776944569408,193.36444236306963,3291.8258271927907
2023-12-10,Mouse,Accessories,South,SP_5,Home Office,6,5688.774176206007,441.5150943604554,6645.045611386003
2024-05-06,Phone,Electronics,North,SP_2,Corporate,4,3279.795633840876,520.2470392415144,3146.2323229552994
2024-02-18,Headphones,Accessories,North,SP_17,Home Office,3,661.6960119802553,95.80886827321598,651.6301292306192
2024-01-21,Headphones,Accessories,East,SP_7,Consumer,5,3819.5265645015525,1136.0305837877856,3773.073506862657
2023-07-11,Mouse,Electronics,South,SP_17,Home Office,7,7524.382766469173,2194.9827616870607,6831.832264548705
2023-10-04,Headphones,Electronics,South,SP_6,Corporate,6,7678.3652386688755,748.0298109352742,7150.808273180888
